pm25,HR,CorrDiff,Diffusion,Reg,LR-interp,FLAML,RF
2.017127609253e+01,9.890567086117e-03,1.063712937040e-02,1.054427661849e-02,1.059906204465e-02,1.146886725860e-02,8.932031251090e-03,1.728301314881e-02
2.033523750305e+01,9.684018557211e-03,1.043965132712e-02,1.034639823852e-02,1.039079740237e-02,1.120756360247e-02,8.728766245870e-03,1.699371147585e-02
2.049919891357e+01,9.473373560033e-03,1.024221713592e-02,1.015085721285e-02,1.018600065812e-02,1.096109444805e-02,8.543813189421e-03,1.670667245286e-02
2.066316223145e+01,9.261297002863e-03,1.004494865660e-02,9.960134159592e-03,9.987314156522e-03,1.072833276649e-02,8.362346664207e-03,1.643218649321e-02
2.082712364197e+01,9.051356626965e-03,9.848933126489e-03,9.776865674595e-03,9.796753066161e-03,1.050747391187e-02,8.181677384767e-03,1.617149940050e-02
2.099108505249e+01,8.847264826882e-03,9.655655230789e-03,9.603087107649e-03,9.614994298747e-03,1.029648071029e-02,8.011704800327e-03,1.590560082811e-02
2.115504646301e+01,8.652236022278e-03,9.466520177708e-03,9.439662846766e-03,9.441311742796e-03,1.009347069312e-02,7.861462681215e-03,1.560206135894e-02
2.131900787354e+01,8.468566110415e-03,9.282622323912e-03,9.286026496514e-03,9.274027583708e-03,9.896925958186e-03,7.727360343571e-03,1.523913199162e-02
2.148296928406e+01,8.297452501628e-03,9.104777274387e-03,9.140301060693e-03,9.111196080054e-03,9.705737344873e-03,7.595252367787e-03,1.482626274815e-02
2.164693069458e+01,8.138972179102e-03,8.933660185043e-03,8.999740863397e-03,8.951218566121e-03,9.519126913453e-03,7.454027666661e-03,1.440012906238e-02
2.181089210510e+01,7.992142123753e-03,8.769861829454e-03,8.861353215966e-03,8.793226410786e-03,9.336519064720e-03,7.305941335664e-03,1.399829972007e-02
2.197485351562e+01,7.855049835824e-03,8.613780948145e-03,8.722519536811e-03,8.637205588044e-03,9.157428431662e-03,7.161606717132e-03,1.363415364170e-02
2.213881492615e+01,7.725098166851e-03,8.465429106313e-03,8.581449579445e-03,8.483891238483e-03,8.981409901270e-03,7.024882484174e-03,1.329301749316e-02
2.230277633667e+01,7.599402693346e-03,8.324304624956e-03,8.437365702925e-03,8.334459720182e-03,8.808080674453e-03,6.886308897698e-03,1.294733675037e-02
2.246673774719e+01,7.475307754130e-03,8.189436426616e-03,8.290413875776e-03,8.190069837025e-03,8.637188065298e-03,6.734862057835e-03,1.257451306537e-02
