Model,RMSE,MAE,Bias,R,R2,std_ratio,high_k_energy_ratio
LR-inter,2.9535390190789914,2.0797354382494966,0.1664538670068928,0.9225429273276802,0.8365852864790864,1.0407847770674061,0.8583243570322805
O3_retrain_reg,2.4405957901274555,1.7707390995636703,-0.37300602490409834,0.9439562800426851,0.8884171506652869,0.9494270956746476,0.8188540052540297
O3_retrain_final,2.5212537735593674,1.8401913044747649,-0.5125391147774789,0.9412280600663241,0.8809199923067479,0.9495464902951162,1.2439711453686522
PM2O3_frozen_reg,2.1503172117670646,1.573526426784266,0.05984852232352361,0.9560783330863798,0.9133814730281714,0.9308353637203095,0.7190921830289064
PM2O3_frozen_final,2.3386011286343726,1.7087731884105968,-0.4851282523130782,0.9497151422834544,0.8975485660214217,0.948489984266387,0.9725857151966494
